"package_names","function_names"
"A3","A3-package"
"A3","a3"
"A3","a3.base"
"A3","a3.gen.default"
"A3","a3.lm"
"A3","a3.r2"
"A3","housing"
"A3","multifunctionality"
"A3","plot.A3"
"A3","plotPredictions"
"A3","plotSlopes"
"A3","print.A3"
"A3","xtable.A3"
"abbyyR","abbyyR-package"
"abbyyR","abbyy_check"
"abbyyR","abbyy_GET"
"abbyyR","abbyy_POST"
"abbyyR","deleteTask"
"abbyyR","getAppInfo"
"abbyyR","getResults"
"abbyyR","getTaskStatus"
"abbyyR","listFinishedTasks"
"abbyyR","listTasks"
"abbyyR","ocrFile"
"abbyyR","processBarcodeField"
"abbyyR","processBusinessCard"
"abbyyR","processCheckmarkField"
"abbyyR","processDocument"
"abbyyR","processFields"
"abbyyR","processImage"
"abbyyR","processMRZ"
"abbyyR","processPhotoId"
"abbyyR","processRemoteImage"
"abbyyR","processTextField"
"abbyyR","setapp"
"abbyyR","submitImage"
